id,uri,Title,Artist,Album/Single,Genre,Artist_followers,Explicit,Album,Release_date,Track_number,Tracks_in_album,danceability,energy,key,loudness,mode,speechiness,acoustics,instrumentalness,liveliness,valence,tempo,duration_ms,time_signature,Genre_new,Days_since_release
6929,https://open.spotify.com/track/4BB6691AoLA4fbJWEKpQhH,tootsies,Lacrim,album,arabic hip hop,1489309.0,True,Lacrim,2019-02-08,10,20,0.64,0.7020000000000001,1,-5.727,1,0.0655,0.0145,2.47e-06,0.182,0.0982,116.936,231987,4,hip hop,645.0
6930,https://open.spotify.com/track/4ubJCbBzQMqtgrVAReBDnY,n.y.m.a,Heuss L'enfoiré,album,francoton,910390.0,True,En esprit,2019-01-25,11,15,0.8370000000000001,0.517,0,-7.001,1,0.14,0.21,0.0,0.0754,0.258,128.005,166813,4,indie,659.0
6931,https://open.spotify.com/track/3wyQDkVQ4ZyV6TbnUxMbiU,pour oublier,Kendji Girac,album,francoton,938552.0,False,Amigo,2018-08-31,1,13,0.758,0.7190000000000001,1,-6.524,0,0.0547,0.185,3.9e-06,0.0717,0.752,124.056,216160,4,indie,806.0
6932,https://open.spotify.com/track/6iIwIZUAmwaWO7cypZSw09,skch,Heuss L'enfoiré,album,francoton,910390.0,True,En esprit,2019-01-25,1,15,0.7609999999999999,0.785,4,-7.037000000000001,0,0.334,0.0777,0.0,0.188,0.476,125.397,156053,5,indie,659.0
6933,https://open.spotify.com/track/6QyYemuQu8cojCeNqNsm17,on fait l’mal,YL - Niro,album,francoton,617156.0,True,Nyx & Erèbe,2019-02-01,9,13,0.82,0.5479999999999999,1,-7.803,0,0.39,0.238,0.0,0.0763,0.376,119.352,264800,4,indie,652.0
6934,https://open.spotify.com/track/5WJGVSUn0z7I9oepbeB791,bloody,Lacrim - 6ix9ine,single,arabic hip hop,1489309.0,True,Bloody,2019-02-07,1,1,0.723,0.934,7,-3.115,1,0.269,0.0693,0.0,0.166,0.573,85.514,178827,4,hip hop,646.0
6935,https://open.spotify.com/track/0VUHYCOoWRgUV9uhdXo52u,solo,Lacrim,single,arabic hip hop,1489309.0,True,Solo,2019-01-03,1,1,0.706,0.853,11,-5.222,0,0.231,0.366,0.0,0.363,0.8859999999999999,173.092,174027,4,hip hop,681.0
6936,https://open.spotify.com/track/2pz2M2tXX8ROcV1Pesr725,jon snow,Lacrim,single,arabic hip hop,1489309.0,True,Jon Snow,2018-12-20,1,1,0.91,0.782,6,-7.621,0,0.322,0.0762,2.13e-06,0.101,0.49,106.99,198733,4,hip hop,695.0
6937,https://open.spotify.com/track/3DzdNXt3NmnK81HrdmfBf3,vida loca,4Keus Gang - Kaaris,single,french hip hop,270700.0,True,Vida loca (feat. Kaaris),2019-01-22,1,1,0.884,0.799,6,-4.138999999999999,0,0.234,0.0956,0.0,0.099,0.841,113.953,183052,4,hip hop,662.0
6939,https://open.spotify.com/track/0ZcCBaeVrpCBNf3G4uBCWx,3min6,YL,album,francoton,617156.0,True,Nyx & Erèbe,2019-02-01,1,13,0.614,0.868,5,-5.843999999999999,0,0.4320000000000001,0.39,0.0,0.174,0.728,83.23700000000002,199280,4,indie,652.0
6940,https://open.spotify.com/track/1B2pIHbCMjtP2FzbeVBcqF,parano,YL,album,francoton,617156.0,True,Nyx & Erèbe,2019-02-01,4,13,0.511,0.672,7,-6.182,0,0.342,0.411,0.0,0.232,0.512,113.924,208333,4,indie,652.0
6941,https://open.spotify.com/track/1nM6JJHclM7NKn51eFNRA4,dévalisé,Kaaris,album,drill francais,1197042.0,True,Or Noir Part 3,2019-01-25,13,15,0.785,0.613,10,-6.893,1,0.175,0.439,0.0,0.134,0.66,143.963,187867,4,trap,659.0
6942,https://open.spotify.com/track/5TbetirWgWtwGucCekT2ew,pas pareil,YL - Timal,album,francoton,617156.0,True,Nyx & Erèbe,2019-02-01,7,13,0.718,0.72,2,-5.853,1,0.272,0.48,0.0,0.273,0.518,134.188,178093,4,indie,652.0
6943,https://open.spotify.com/track/6NNtJ7QHF0PzhNK736iwyF,avenue montaigne,Maes,album,francoton,1177785.0,True,Pure,2018-11-29,7,16,0.802,0.669,0,-7.934,0,0.0891,0.241,1.97e-05,0.0753,0.5479999999999999,129.928,182320,4,indie,716.0
6909,https://open.spotify.com/track/2o4NiwCMaXjI6oA7IfNDsE,jvlius,Lacrim,album,arabic hip hop,1489309.0,True,Lacrim,2019-02-08,2,20,0.8640000000000001,0.665,4,-6.893,0,0.273,0.3720000000000001,0.0,0.238,0.738,140.10299999999998,208253,4,hip hop,645.0
6944,https://open.spotify.com/track/69zcEaPtigHqThMIy5qVIS,tiguere 2,Lacrim,single,arabic hip hop,1489309.0,True,Tiguere 2 (Freestyle),2019-01-30,1,1,0.705,0.5770000000000001,1,-10.209,1,0.307,0.151,0.0,0.106,0.235,129.915,118154,4,hip hop,654.0
6938,https://open.spotify.com/track/04j1J1lbAXEfjNaMcb1ar8,tikka,Lartiste - Heuss L'enfoiré,album,francoton,1425649.0,True,QUARTIER LATIN VOL.1,2019-02-01,8,18,0.778,0.6829999999999999,8,-6.525,0,0.11,0.0191,0.0,0.155,0.312,95.987,220350,4,indie,652.0
6946,https://open.spotify.com/track/2q4hIY1vUXteMtkaoNDh5n,,,,,,,,,,,,,,,,,,,,,,,,,
6947,https://open.spotify.com/track/2iJDXW4iMijCSixQUC8nmz,livraison,Kaaris,album,drill francais,1197042.0,True,Or Noir Part 3,2019-01-25,6,15,0.823,0.5660000000000001,8,-5.814,1,0.417,0.527,0.0,0.11,0.521,147.856,150733,4,trap,659.0
6948,https://open.spotify.com/track/55KwCE4eBJMxYhkuuaEFMj,crclr,La Synesia - 4Keus,single,francoton,197243.0,False,CRCLR,2019-01-25,1,1,0.64,0.758,4,-4.013999999999999,0,0.0675,0.0281,0.0,0.109,0.433,160.043,321138,4,indie,659.0
6945,https://open.spotify.com/track/3II1bOtPT0D7WSbBy64uzU,story,Timal,single,francoton,664047.0,True,Story,2019-01-25,1,1,0.72,0.613,0,-8.092,1,0.455,0.268,0.0,0.0641,0.184,160.042,125160,4,indie,659.0
6949,https://open.spotify.com/track/2DeRI6gxwUnnUuNdf7EFcs,tot ou tard,YL,album,francoton,617156.0,True,Nyx & Erèbe,2019-02-01,5,13,0.794,0.6829999999999999,1,-5.742000000000001,1,0.244,0.41,0.0,0.104,0.6459999999999999,150.041,184080,4,indie,652.0
6950,https://open.spotify.com/track/53zdrcgriQnurogkWSWEXq,sans suite,PLK,album,french hip hop,565680.0,True,Polak,2019-02-01,17,18,0.7879999999999999,0.67,2,-5.729,1,0.329,0.1689999999999999,0.0,0.129,0.482,111.738,212089,5,hip hop,652.0
6951,https://open.spotify.com/track/56v89fzvcdSgHnyjA0v3xI,détails,Kaaris,album,drill francais,1197042.0,True,Or Noir Part 3,2019-01-25,9,15,0.777,0.57,10,-7.151,0,0.104,0.332,0.0,0.0983,0.5770000000000001,152.084,165640,4,trap,659.0
6953,https://open.spotify.com/track/7rlWtVwySbZDPcCfrvRqkR,comme dhab,YL,album,francoton,617156.0,True,Nyx & Erèbe,2019-02-01,6,13,0.795,0.8490000000000001,2,-5.172999999999999,0,0.241,0.324,0.0,0.101,0.799,102.898,171147,4,indie,652.0
6954,https://open.spotify.com/track/167pdGHm4Ng090sf50XbXa,monsieur météo,Kaaris,album,drill francais,1197042.0,True,Or Noir Part 3,2019-01-25,2,15,0.858,0.695,6,-5.994,1,0.276,0.5579999999999999,0.0,0.109,0.773,138.042,170773,4,trap,659.0
6955,https://open.spotify.com/track/7CofOIhZx9zcrdbQN1m4YY,ca on la,Kaaris,album,drill francais,1197042.0,True,Or Noir Part 3,2019-01-25,10,15,0.84,0.573,9,-7.151,1,0.306,0.309,0.0,0.101,0.445,144.028,164853,4,trap,659.0
6956,https://open.spotify.com/track/2fNhafCZCg0gYWn6O7bXH4,saleté,YL,album,francoton,617156.0,True,Nyx & Erèbe,2019-02-01,8,13,0.8190000000000001,0.7809999999999999,5,-5.9,0,0.234,0.467,0.0,0.0743,0.638,114.067,205347,4,indie,652.0
6957,https://open.spotify.com/track/2NalfKnjTJdlsXxiPHfqhZ,"bx land, pt. 3",Heuss L'enfoiré,single,francoton,910390.0,True,"BX Land, Pt. 3",2018-12-28,1,1,0.821,0.768,9,-4.667,0,0.381,0.3670000000000001,0.0,0.213,0.648,91.017,213964,4
6958,https://open.spotify.com/track/4FUiJJPW0bvjXVqFuTonSz,dave grohl,Lomepal,album,french hip hop,1061070.0,False,Jeannine,2018-12-07,14,17,0.362,0.482,0,-9.231,0,0.114,0.4970000000000001,0.000943,0.0865,0.126,72.149,214400,4,hip hop,708.0
6959,https://open.spotify.com/track/57vJYY4xkVRCxv4XM4ccLR,billets,YL,album,francoton,617156.0,True,Nyx & Erèbe,2019-02-01,10,13,0.715,0.763,9,-6.607,0,0.052,0.578,0.0,0.11,0.454,139.961,188160,4,indie,652.0
6960,https://open.spotify.com/track/7cQ6pJH1xM8xMlCzI0IamS,piwi,Lartiste - Koba LaD,album,francoton,1425649.0,True,QUARTIER LATIN VOL.1,2019-02-01,6,18,0.85,0.632,1,-5.742000000000001,1,0.233,0.4270000000000001,0.000468,0.132,0.72,135.906,201240,4,indie,652.0
